* A * (14)

Aachen, Germany                                           1071,792*
Adelaide, South Australia                                 1847,303*
Apex, Carolina del norte                                   591,712*
Alcorcon, Espa¤a                                          1020,733*
Alicante, Espa¤a                                          1047,723*
Almeria, Espa¤a                                           1036,717*
Amsterdam, The Netherlands                                1070,807*
Angarsk, Russia                                           1648,807*
Aosta, Valle d'Aosta, Italia                              1084,767*
Ashland, Kentucky                                          567,731*
Athens, Georgia, USA                                       554,704*
Athens,Greece                                             1177,728*
Atlanta,  GA                                               536,703*
Austin, Texas, USA                                         481,677*

* B * (30)

Badajoz, Espa¤a                                           1010,726*
Baesweiler, Germany                                       1071,799*
Balaguer, Lleida, Espa¤a                                  1048,744*
Banska Bystrica, Slovakia                                 1138,787*
Baracaldo, Espa¤a                                         1031,753*
Barcelona, Espa¤a                                         1052,738*
Barnaul, Russia                                           1053,788*
Basel, Switzerland                                        1074,778*
Batavia, Illinois, USA                                     596,750*
Bath, England                                             1034,806*
Baton Rouge, Louisiana                                     515,681*
Benton, Arkansas, USA                                      519,711*
Berlin, Germany                                           1113,800*
Bielefeld, Germany                                        1094,797*
Bilbao, Espa¤a                                            1036,751*
Biysk Altai                                               1536,811*
Bloomington, Minnesota, USA                                512,761*
Bochum, Germany                                           1070,796*
Bogota, Colombia                                           621,543*
Bracknell, United Kingdom                                 1049,799*
Bradford, England                                         1038,820*
Brasilia, Brasil, Distrito Federal                         729,512*
Braunschweig, North Germany                               1101,805*
Bridgeport, Connecticut, USA                               628,744*
Brisbane, Australia                                       1935,341*
Brookville, Pennsylvania, USA                              592,742*
Brugge, Belgium                                           1062,802*
Brussels, Belgium                                         1059,789*
Buenos Aires, Argentina                                    714,299*
Burgos, Espa¤a                                            1029,751*

* C * (22)

Calgary, Alberta, Canada                                   399,795*
Camden, Arkansas, USA                                      501,699*
Capetown, South Africa                                    1147,309*
Cartagena, Espa¤a                                         1045,721*
Castell¢n, Espa¤a                                         1049,736*
Charlotte, MI, USA                                         555,749*
Chelyabinsk, Russia                                       1431,836*
